                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                 1.1135,                0.57658,                 1.0426,                0.94431,                 0.9192,                0.96443,                0.66106,                  1.131,                0.45602,                 1.0355,               0.006832,               0.006832,               0.006832
                     98,                 1.1141,                0.58309,                 1.0471,                0.94517,                0.91894,                0.96455,                0.66133,                  1.131,                0.45578,                 1.0355,               0.006799,               0.006799,               0.006799
                     99,                 1.1146,                 0.5778,                 1.0473,                0.94618,                0.91906,                0.96461,                0.66198,                 1.1309,                0.45558,                 1.0354,               0.006766,               0.006766,               0.006766
                    100,                 1.1121,                 0.5773,                 1.0456,                0.94616,                0.91924,                0.96467,                0.66208,                 1.1309,                0.45544,                 1.0354,               0.006733,               0.006733,               0.006733
                    101,                 1.1104,                0.57814,                 1.0451,                0.94608,                0.91943,                0.96475,                0.66212,                 1.1311,                0.45531,                 1.0355,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.1099,                0.57659,                 1.0423,                0.93847,                0.92523,                0.96471,                0.66186,                 1.1306,                0.45527,                 1.0353,               0.006667,               0.006667,               0.006667
                    103,                 1.1126,                0.57715,                 1.0476,                 0.9385,                0.92556,                0.96486,                0.66228,                 1.1305,                0.45514,                 1.0353,               0.006634,               0.006634,               0.006634
                    104,                 1.1104,                0.57758,                 1.0459,                0.93911,                0.92591,                0.96478,                 0.6624,                 1.1303,                0.45498,                 1.0352,               0.006601,               0.006601,               0.006601
                    105,                 1.1096,                 0.5728,                 1.0435,                0.93897,                0.92585,                0.96479,                0.66233,                   1.13,                0.45465,                 1.0351,               0.006568,               0.006568,               0.006568
                    106,                 1.1082,                0.57522,                 1.0412,                 0.9392,                0.92575,                0.96479,                 0.6625,                 1.1298,                0.45443,                 1.0349,               0.006535,               0.006535,               0.006535
                    107,                 1.1075,                0.57324,                 1.0425,                0.93871,                 0.9259,                0.96478,                0.66248,                 1.1295,                0.45426,                 1.0348,               0.006502,               0.006502,               0.006502
                    108,                 1.1038,                0.57079,                 1.0359,                0.93907,                0.92615,                0.96479,                0.66255,                 1.1295,                0.45386,                 1.0348,               0.006469,               0.006469,               0.006469
                    109,                 1.1037,                0.57082,                 1.0392,                 0.9385,                0.92829,                0.96518,                0.66285,                 1.1294,                0.45378,                 1.0346,               0.006436,               0.006436,               0.006436
                    110,                 1.1036,                0.57067,                 1.0357,                0.93747,                0.92876,                0.96519,                0.66256,                 1.1292,                 0.4536,                 1.0344,               0.006403,               0.006403,               0.006403
                    111,                 1.1027,                0.57063,                  1.038,                 0.9369,                0.93005,                0.96517,                0.66326,                 1.1292,                 0.4535,                 1.0343,                0.00637,                0.00637,                0.00637
                    112,                 1.1001,                0.56972,                 1.0375,                0.93306,                0.93405,                0.96529,                0.66247,                 1.1291,                0.45347,                 1.0342,               0.006337,               0.006337,               0.006337
                    113,                 1.1019,                0.57043,                 1.0392,                 0.9328,                0.93404,                0.96532,                0.66247,                 1.1291,                0.45323,                 1.0341,               0.006304,               0.006304,               0.006304
